nom,type,address,cp,ville,region,telephone,email,site,desc
AIKIDO - A M SOUFFLENHEIM,Aikido,Rue Du Chemin De Fer,67620,SOUFFLENHEIM ,Grand Est,,hanns.robert@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIDO CHATELLERAULT,Aikido,Gymnase Du Verger Rue Jean Pidoux,86100,CHATELLERAULT ,Nouvelle-Aquitaine,,a.bougnoux@free.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIDO CLUB AMIENOIS,Aikido,Route De Bacouël-Sur Selle,80160,PLACHY BUYON ,Hauts-de-France,,serge.agbo-sonan@ac-amiens.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIDO CLUB DE LA BIEVRE,Aikido,Budokan Des 2 Sarres,57560,ABRESCHVILLER ,Grand Est,,boudhableu@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIDO CLUB DE ROCHEFORT,Aikido,Avenue Gambetta,17300,ROCHEFORT ,Nouvelle-Aquitaine,,aikido.rochefort@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIDO CLUB DE ST LOUIS,Aikido,Sportenum Allee Des Sports,68300,SAINT LOUIS ,Grand Est,,aikido.saintlouis@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIDO CLUB MONTBELIARD,Aikido,Complexe Sportif De La Lizaine - Route D'Hericourt,25200,MONTBELIARD ,Bourgogne-Franche-Comté,,mairedeglise.rene@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIDO CLUB ROUEN,Aikido,112 Bd De L'Europe Piscine Diderot,76000,ROUEN ,Normandie,,caltot.beatrice@neuf.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIDO CLUB THONON,Aikido,Dojo Maison Des Sports,74200,THONON LES BAINS ,Auvergne-Rhône-Alpes,,coneggo@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIDO DE BOURG EN BRESSE,Aikido,Cosec Favier 1 Rue Du Docteur Duby,01000,BOURG EN BRESSE ,Auvergne-Rhône-Alpes,,alvesdavid91@hotmail.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIDO DINARD,Aikido,Dojo Du Cosec - 29 Rue Gouyon Matignon,35800,DINARD ,Bretagne,,aikidodinard@free.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIDO GUJANAIS,Aikido,45 Rue Pierre Corneille,33470,GUJAN MESTRAS ,Nouvelle-Aquitaine,,mapajeanmichel@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIDO REOLAIS,Aikido,Chemin De Blasignon,33190,LA REOLE ,Nouvelle-Aquitaine,,aikidolareole@outlook.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKIKAI MARTINIQUE,Aikido,Dojo De La Varangue - 36 Bld Amilcar Cabral,97200,FORT DE FRANCE ,Martinique ,,gigi.aiki@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
ALERTE SPORTIVE DE FONDETTES,Athlétisme,Allée de la Poupardière,37230,FONDETTES,Centre-Val de Loire,0247499353,accueil-asf@asfondettes.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
ALERTE SPORTIVE DE FONDETTES,Football,Allée de la Poupardière,37230,FONDETTES,Centre-Val de Loire,0247499353,accueil-asf@asfondettes.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 4 ans.
ALERTE SPORTIVE DE FONDETTES,Judo,Allée de la Poupardière,37230,FONDETTES,Centre-Val de Loire,0247499353,accueil-asf@asfondettes.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 4 ans.
ALERTE SPORTIVE DE FONDETTES,Marche nordique,Allée de la Poupardière,37230,FONDETTES,Centre-Val de Loire,0247499353,accueil-asf@asfondettes.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 14 ans.
ALERTE SPORTIVE DE FONDETTES,VTT,Allée de la Poupardière,37230,FONDETTES,Centre-Val de Loire,0247499353,accueil-asf@asfondettes.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 10 ans.
AMAZONES,Cheerleading,Stade Champfleuri,45200,MONTARGIS,Centre-Val de Loire,,298@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
AMICALE DES HOCKEYEURS DE MEAUX,Hockey sur Gazon,,77100,NANTEUIL LES MEAUX,Île-de-France,,sylvain.roussel@ca-paris.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
AMICALE SPORTIVE DE BLAINVILLE-CREVON,Hockey sur Gazon,,76116,BLAINVILLE CREVON,Normandie,,stevendelphine@hotmail.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
AMIENS BOXE AMBITIONS,Boxe Française,,80000,AMIENS,Hauts-de-France,,boubou80000@yahoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
AMITIE AIKIDO NOCEENNE,Aikido,"Gymnase Henri Deglane, Rue D'Anjou",93330,NEUILLY SUR MARNE ,Île-de-France,,aikido.nsm@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
ANGES,Cheerleading,Plaine des jeux (terrain N4),40000,MONT DE MARSAN,Nouvelle-Aquitaine,,332@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ARC CLUB COURVILLOIS,Tir à l'arc,,28190,BILLANCELLES,Centre-Val de Loire,,Tresorier@arc-club-courvillois.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
ARC CLUB DE STE MAXIME,Tir à l'arc,,83120,LE PLAN-DE-LA-TOUR,Provence-Alpes-Côte d'Azur,,bureau@arcclubdesaintemaxime.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
ARC CLUB MILHAUDOIS,Tir à l'arc,,30540,MILHAUD,Occitanie,,arc.club.milhaudois@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
ARCHERS DE KERVIGNAC,Tir à l'arc,,56700,KERVIGNAC,Bretagne,,archers.kervignac@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
ARCHERS DE LA CHOUANNERIE,Tir à l'arc,,85400,CHASNAIS,Pays de la Loire,,archers.delachouannerie@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
ARCHERS DE LA MEE,Tir à l'arc,,44110,CHÂTEAUBRIANT,Pays de la Loire,,p.comcom4@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
ARCHERS DE RICHEMONT,Tir à l'arc,,56000,VANNES,Bretagne,,archersderichemont56@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
ARCHERS DU BASSIN D'ARCACHON,Tir à l'arc,,33260,LA TESTE-DE-BUCH,Nouvelle-Aquitaine,,archersdubassin@free.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
ARCHERS LES JEUNES ,Tir à l'arc,,62810,AVESNES-LE-COMTE,Hauts-de-France,0750226007,lucas.heirman62@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AS SPAY OMNISPORTS,Multisports enfants,,72700,SPAY,Pays de la Loire,0629798894,asso.spay@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 4 ans.
ASBF,Boxe Française,,87240,AMBAZAC,Nouvelle-Aquitaine,,ambazacboxe@gmail.com,http://villeambazac.free,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
ASBG LA FLECHE,Haltérophilie,,72200,LA FLECHE,Pays de la Loire,0781866319,pichondan@aol.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
ASE CORSAIRES,Cheerleading,Complexe Sportif du parc des loges,91000,EVRY,Île-de-France,,085@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ASH TULLE,Haltérophilie,,19000,TULLE,Nouvelle-Aquitaine,0675710297,remi.seijolopez@sfr.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
ASNIERES HOCKEY SUR GAZON,Hockey sur Gazon,,92600,ASNIERES SUR SEINE,Île-de-France,,contact@asnieres-hockey.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ASPTT DRAGUIGNAN,Haltérophilie,,83300,DRAGUIGNAN,Provence-Alpes-Côte d'Azur,0664999502,eddyvietman@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
ASPTT LILLE METROPOLE,Haltérophilie,,59000,LILLE,Hauts-de-France,0320541190,feumeni@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
ASS SPORT CULTURELLE HANCHES BAD,Badminton,,28130,HANCHES,Centre-Val de Loire,,president@aschbadminton.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ASSO MONTENAY SECTION BAD,Badminton,,53500 ,MONTENAY,Pays de la Loire,,allainstaf@free.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ASSOCIATION CARIBEENNE DE TIR A L'ARC,Tir à l'arc,,97200,FORT DE FRANCE ,Martinique ,,clubacta972@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
ASSOCIATION DE FOOTBALL AMERICAIN LES TERRIBLES,Cheerleading,Stade de Sainte Croix Hague,50100,CHERBOURG,Normandie,,540@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ASSOCIATION DE FOOTBALL AMERICAIN SEA DEVILS,Flag Football,,17000,LA ROCHELLE,Nouvelle-Aquitaine,,535@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ASSOCIATION DE TIR A L'ARC DE CHENOVE,Tir à l'arc,,21300,CHENÔVE,Bourgogne-Franche-Comté,,atacchenove21@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
ASSOCIATION SPORTIVE BADMINTON OUVEILLAN,Badminton,,11590,OUVEILLAN,Occitanie,,a.s.b.o.ouveillan@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ASSOCIATION SPORTIVE D'HERY,Badminton,,89550,HERY,Bourgogne-Franche-Comté,,Badhery89@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ASSOCIATION SPORTIVE FONTONNE D'ANTIBES,Hockey sur Gazon,,06600,ANTIBES,Provence-Alpes-Côte d'Azur,,winifredrinck@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ASSOCIATION SPORTIVE PARIS TEAM 75,Cheerleading,Complexe Sportif Suzanne Lenglen,75015,PARIS 15,Île-de-France,,478@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ASSOCIATION SPORTIVE VILLEURBANNE EVEIL LYONNAIS,Hockey sur Gazon,,69100,VILLEURBANNE,Auvergne-Rhône-Alpes,,francoisyon@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ASSOCIATION SPORTS ET LOISIRS MUHLBACH SUR MUNSTER,Badminton,,68380,MUHLBACH SUR MUNSTER,Grand Est,,herreinbold@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ASTS,Boxe Française,,77610,FONTENAY-TRÉSIGNY,Île-de-France,,boxe77610@gmail.com,http://www.boxe77610.fr,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
ATHLE NORDIK TRAIL EN PROVINOIS,Marche nordique,6 rue du chêne ,77171,MELZ SUR SEINE    ,Île-de-France,0664193169,contact@athle-nordik-trail-provinois.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 14 ans.
ATHLETIC BOXING CLUB,Boxe Française,,33820,BRAUD ET ST LOUIS,Nouvelle-Aquitaine,0640451221,stciersboxingclub@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
ATHLETIC BOXING CLUB 56,Boxe Française,,56000,VANNES,Bretagne,,fuentemaribel@yahoo.fr,https://www.athleticboxingclub56.fr/,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
AU FIL DE L'OSME,Jeu de piste ludique,,16140,AIGRE - ST-FRAIGNE,Nouvelle-Aquitaine,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
B.F.S BOXE FRANÇAISE SAVATE STRASBOURG,Boxe Française,,67000,STRASBOURG,Grand Est,0628515592,melidrissi@carambarco.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
BAD TEAM ST.HO,Badminton,,58360 ,SAINT HONORE LES BAINS,Bourgogne-Franche-Comté,,badteamstho@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
BADISTES DE LA BOËME,Badminton,,16440,MOUTHIERS SUR BOEME,Nouvelle-Aquitaine,,contact@badistesdelaboeme.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
BADMINTON CLUB DE LA BÂTIE NEUVE,Badminton,,05230 ,LA BATIE NEUVE,Provence-Alpes-Côte d'Azur,,bcbn05@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
BADMINTON CLUB GUIGNES,Badminton,,77166 ,GRISY GUINES,Île-de-France,,bcguignes@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
BADMINTON CLUB LISLOIS,Badminton,,32600,CLERMONT SAVES,Occitanie,,badclublislois@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
BADMINTON DE SAINT GIRONS,Badminton,,09200,SAINT GIRONS,Occitanie,,badsg09@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
BADMINTON DU PAYS FORT,Badminton,,18260 ,VAILLY SUR SAULDRE,Centre-Val de Loire,,bpf18260@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
BADMINTON PAYS DE PLÉLAN,Badminton,,22980 ,PLELAN LE PETIT,Bretagne,,badaplelan@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
BADMINTON SAINT-CERE,Badminton,,46400 ,SAINT CERE,Occitanie,,badstcere46@yahoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
BALADE LUDIQUE À GAURÉ EN FAMILLE,Jeu de piste ludique,,31590,GAURÉ,Occitanie,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
BALADE LUDIQUE À SAINT-PONS,Jeu de piste ludique,,07580,SAINT-PONS,Auvergne-Rhône-Alpes,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
BALADE LUDIQUE EN FAMILLE À AIMARGUES ,Jeu de piste ludique,,30470,AIMARGUES,Occitanie,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
BALADE LUDIQUE EN FAMILLE À LEMBACH.,Jeu de piste ludique,,67510,LEMBACH,Grand Est,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
BALADE LUDIQUE ET FAMILIALE À HUNSPACH,Jeu de piste ludique,,67250,HUNSPACH,Grand Est,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
BAR AIKIDO RYU,Aikido,Gymnase Bradfer - Impasse Des Brasseries,55000,BAR LE DUC ,Grand Est,,aikido.barleduc@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
BF CLUB PERIGUEUX,Boxe Française,,24000,PÉRIGUEUX,Nouvelle-Aquitaine,0681030239,dbondat@yahoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
BF PARADIS,Boxe Française,,13000,MARSEILLE,Provence-Alpes-Côte d'Azur,0612182238,fmullermaristes13@gmail.com,http://www.boxefrancaiseparadis.com,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
BFLC,Boxe Française,,17170,COURÇON,Nouvelle-Aquitaine,,murphi.hagoug@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
BISONS,Cheerleading,Stade de la Malcombe,25000,BESANCON,Bourgogne-Franche-Comté,,361@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
BLACK HORNETS,Football Américain,Le Pré des Bœufs,42120,COTEAU,Auvergne-Rhône-Alpes,,545@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
BLANC MESNIL SPORT HOCKEY,Hockey sur Gazon,,93150,LE BLANC MESNIL,Île-de-France,,contact.bmsh@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
BOXING CLUB GOURNAISIEN,Boxe Française,,76220,GOURNAY  EN  BRAY,Normandie,0618017343,gaulierkristel@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
BOXING SAVATE ACADEMY,Boxe Française,,30129,MANDUEL,Occitanie,0761287602,bsa.sbf@gmail.com,http://www.boxingsavateacademy.fr,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
BUDOKAN DE LA GUADELOUPE,Haltérophilie,,97139,LES ABYMES,	Guadeloupe,,lebudokan@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
C. A. JEANNE HACHETTE - BEAUVAIS,Tir à l'arc,,60000,BEAUVAIS,Hauts-de-France,,ciejeannehachette@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
CAEN CALVADOS HALTEROPHILIE MUSCULATION,Haltérophilie,,14000,CAEN,Normandie,0981397784,presidence.caen14haltero@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
CAIMANS 72,Flag Football,Stade Auguste Delaune,72000,MANS,Pays de la Loire,,038@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
